Test,Test Key,Size,Neo4j,Neo4j error,MySQL,MySQL error,Memory (MB)
Test 4,matchup,1000,14.8638,2.49095,16.8374,1.3103,124.682
Test 4,matchup,2000,20.7934,6.31519,35.2566,4.54904,124.102
Test 4,matchup,3500,29.4982,5.5063,85.8167,7.85178,123.928
Test 4,matchup,6000,44.6335,5.83736,234.793,15.9537,121.766
Test 4,matchup,11000,82.4126,13.8932,867.941,103.623,122.97
